arvore,nomes,altura,dap
1,pineiro-do-parana,224,39
2,pineiro-do-parana,199,31
3,pineiro-do-parana,136,49
4,pineiro-do-parana,172,31
5,pineiro-do-parana,151,44
6,pineiro-do-parana,212,48
7,pineiro-do-parana,202,50
8,pineiro-do-parana,135,25
9,pineiro-do-parana,150,27
10,pineiro-do-parana,176,31
11,pineiro-do-parana,172,26
12,pineiro-do-parana,171,39
13,pineiro-do-parana,250,41
14,pineiro-do-parana,185,31
15,pineiro-do-parana,124,41
16,pineiro-do-parana,148,46
17,pineiro-do-parana,145,33
18,pineiro-do-parana,122,40
19,pineiro-do-parana,148,45
20,pineiro-do-parana,171,25
21,pineiro-do-parana,226,23
22,pineiro-do-parana,165,32
23,pineiro-do-parana,204,50
24,pineiro-do-parana,229,42
25,pineiro-do-parana,177,46
26,pineiro-do-parana,168,35
27,pineiro-do-parana,154,46
28,pineiro-do-parana,199,47
29,pineiro-do-parana,129,31
30,pineiro-do-parana,167,30
31,pineiro-do-parana,155,37
32,pineiro-do-parana,194,33
33,pineiro-do-parana,122,27
34,pineiro-do-parana,215,36
35,pineiro-do-parana,214,47
36,pineiro-do-parana,185,26
37,pineiro-do-parana,185,47
38,pineiro-do-parana,207,29
39,pineiro-do-parana,205,37
40,pineiro-do-parana,191,46
41,pineiro-do-parana,120,28
42,pineiro-do-parana,172,47
43,pineiro-do-parana,198,29
44,pineiro-do-parana,192,26
45,pineiro-do-parana,144,36
46,pineiro-do-parana,250,30
47,pineiro-do-parana,187,28
48,pineiro-do-parana,215,20
49,pineiro-do-parana,180,47
50,pineiro-do-parana,162,20
51,pineiro-do-parana,120,46
52,pineiro-do-parana,222,42
53,pineiro-do-parana,201,23
54,pineiro-do-parana,191,39
55,pineiro-do-parana,214,37
56,pineiro-do-parana,183,32
57,pineiro-do-parana,213,27
58,pineiro-do-parana,153,21
59,pineiro-do-parana,141,42
60,pineiro-do-parana,240,27
61,pineiro-do-parana,185,48
62,pineiro-do-parana,239,47
63,pineiro-do-parana,120,43
64,pineiro-do-parana,205,21
65,pineiro-do-parana,172,40
66,pineiro-do-parana,156,33
67,pineiro-do-parana,218,49
68,pineiro-do-parana,193,31
69,pineiro-do-parana,229,22
70,pineiro-do-parana,138,39
71,pineiro-do-parana,120,41
72,pineiro-do-parana,216,25
73,pineiro-do-parana,247,40
74,pineiro-do-parana,137,35
75,pineiro-do-parana,205,42
76,pineiro-do-parana,140,49
77,pineiro-do-parana,198,46
78,pineiro-do-parana,220,43
79,pineiro-do-parana,124,31
80,pineiro-do-parana,139,46
81,pineiro-do-parana,131,26
82,pineiro-do-parana,131,28
83,pineiro-do-parana,180,40
84,pineiro-do-parana,187,30
85,pineiro-do-parana,161,26
86,pineiro-do-parana,191,26
87,pineiro-do-parana,158,22
88,pineiro-do-parana,124,38
89,pineiro-do-parana,161,31
90,pineiro-do-parana,194,47
91,pineiro-do-parana,211,25
92,pineiro-do-parana,195,21
93,pineiro-do-parana,208,42
94,pineiro-do-parana,130,34
95,pineiro-do-parana,198,27
96,pineiro-do-parana,180,29
97,pineiro-do-parana,132,50
98,pineiro-do-parana,149,29
99,pineiro-do-parana,127,35
100,pineiro-do-parana,168,25
101,pau-de-cotia,12,20
102,pau-de-cotia,13,18
103,pau-de-cotia,13,7
104,pau-de-cotia,15,13
105,pau-de-cotia,9,14
106,pau-de-cotia,10,11
107,pau-de-cotia,19,5
108,pau-de-cotia,10,17
109,pau-de-cotia,13,19
110,pau-de-cotia,14,15
111,pau-de-cotia,9,20
112,pau-de-cotia,17,19
113,pau-de-cotia,11,10
114,pau-de-cotia,11,10
115,pau-de-cotia,16,13
116,guarita,51,16
117,guarita,60,16
118,guarita,58,12
119,guarita,42,15
120,guarita,47,18
121,guarita,44,18
122,guarita,53,14
123,guarita,44,12
124,guarita,41,12
125,guarita,49,12
126,guarita,45,10
127,guarita,51,10
128,guarita,58,19
129,guarita,41,20
130,guarita,60,19
131,guarita,53,11
132,guarita,40,18
133,guarita,50,17
134,guarita,45,17
135,guarita,56,20
136,guarita,52,15
137,guarita,55,13
138,guarita,43,18
139,guarita,52,20
140,guarita,48,17
141,guarita,52,13
142,guarita,60,20
143,guarita,43,16
144,guarita,51,19
145,guarita,42,13
146,guarita,44,11
147,guarita,44,16
148,guarita,51,14
149,guarita,57,13
150,guarita,57,13
151,guarita,55,10
152,guarita,54,20
153,guarita,54,10
154,guarita,59,12
155,guarita,47,11
156,guarita,40,16
157,guarita,54,12
158,guarita,46,19
159,guarita,57,11
160,guarita,49,15
161,guarita,57,13
162,guarita,53,14
163,guarita,57,11
164,guarita,55,13
165,guarita,45,12
166,guarita,50,10
167,guarita,49,18
168,guarita,60,12
169,guarita,44,13
170,guarita,48,18
171,guarita,47,19
172,guarita,52,12
173,guarita,51,16
174,guarita,60,17
175,guarita,57,20
176,guarita,58,11
177,aroeira-brava,30,12
178,aroeira-brava,29,10
179,aroeira-brava,27,8
180,aroeira-brava,25,12
181,aroeira-brava,30,6
182,aroeira-brava,26,8
183,aroeira-brava,25,7
184,aroeira-brava,27,6
185,aroeira-brava,29,6
186,aroeira-brava,26,9
187,aroeira-brava,25,11
188,aroeira-brava,30,10
189,aroeira-brava,28,7
190,aroeira-brava,25,9
191,aroeira-brava,25,10
192,aroeira-brava,27,10
193,aroeira-brava,26,8
194,aroeira-brava,29,5
195,aroeira-brava,30,8
196,aroeira-brava,30,6
197,aroeira-brava,25,8
198,aroeira-brava,28,9
199,aroeira-brava,30,4
200,aroeira-brava,29,4
201,aroeira-brava,28,7
202,aroeira-brava,28,5
203,aroeira-brava,29,4
204,aroeira-brava,25,10
205,aroeira-brava,27,8
206,aroeira-brava,27,12
207,aroeira-brava,29,11
208,aroeira-brava,29,9
209,aroeira-brava,25,11
210,aroeira-brava,29,5
211,aroeira-brava,25,11
212,aroeira-brava,25,4
213,aroeira-brava,25,4
214,aroeira-brava,27,11
215,aroeira-brava,30,4
216,aroeira-brava,28,8
217,aroeira-brava,30,4
218,aroeira-brava,25,7
219,aroeira-brava,27,12
220,aroeira-brava,26,7
221,aroeira-brava,25,11
222,aroeira-brava,26,12
223,aroeira-brava,30,9
224,aroeira-brava,29,5
225,aroeira-brava,28,10
226,aroeira-brava,27,12
227,aroeira-brava,25,12
228,aroeira-brava,26,6
229,aroeira-brava,30,7
230,aroeira-brava,26,12
231,aroeira-brava,29,11
232,aroeira-brava,27,9
233,aroeira-brava,30,12
234,aroeira-brava,25,6
235,aroeira-brava,30,6
236,aroeira-brava,30,8
237,aroeira-brava,29,5
238,aroeira-brava,30,10
239,aroeira-brava,30,11
240,aroeira-brava,26,11
241,aroeira-brava,30,11
242,aroeira-brava,30,6
243,aroeira-salsa,28,9
244,aroeira-salsa,28,7
245,aroeira-salsa,26,11
246,aroeira-salsa,30,6
247,aroeira-salsa,29,9
248,aroeira-salsa,35,11
249,aroeira-salsa,26,7
250,aroeira-salsa,25,8
